mercado;presentacion IQVIA;unidades MAT;fila lista de precios;envase;packs;PSL aplicado;PSL/unidad;estado
Acantex;ACANTEX V.IM LIOF 1.00G 3.5ML x 1;230788;ACANTEX INV 1 g;1;1;15505.3;15505.3;ok
Acantex;ACANTEX V.IV LIOF 1.00G 10ML x 1;26039;ACANTEX INV 1 g;1;1;15505.3;15505.3;ok
Acantex;ACANTEX V.IM LIOF 500MG 2ML x 1;19058;ACANTEX INV 500 mg;1;1;8029.88;8029.88;ok
Acantex;ACANTEX V+SOLV INFUS 2.00G x 1;3100;ACANTEX INV 1 g;1;1;15505.3;15505.3;ok
Acemuk;ACEMUK TABL EFERV 600MG x 10;2112255;ACEMUK 600  mg;10;1;9875.64;987.56;ok
Acemuk;ACEMUK TABL EFERV 600MG x 20;649566;ACEMUK 600  mg;20;1;16050.11;802.51;ok
Acemuk;ACEMUK GRAN P/SUSP 2.00G 100ML x 1 /5ML;243745;ACEMUK JARABE;;1;8194.17;;ok
Acemuk;ACEMUK TABL EFERV 600MG x 60;26902;ACEMUK 600  mg;60;1;42528.99;708.82;ok
Acemuk;ACEMUK TABL EFERV 600MG x 5;192966;;;;;;SIN PRECIO: se valoriza al PSL ponderado del mercado
Acneclin;ACNECLIN AP CAPS A.P 100MG x 30;115842;ACNECLIN 100 AP;30;1;31689.75;1056.33;ok
Acneclin;ACNECLIN TABL RECUBIE 50mg x 30;15202;ACNECLIN;30;1;16348.46;544.95;ok
Aireal;AIREAL TABL MAST 10mg x 30;55186;AIREAL 10 mg;30;1;24411.37;813.71;ok
Aireal;AIREAL TABL MAST 5.00MG x 30;23271;AIREAL  5 mg;30;1;23748.54;791.62;ok
Aireal;AIREAL TABL MAST 4.00MG x 30;11734;AIREAL  4 mg;30;1;22533.74;751.12;ok
Aireal;AIREAL TABL RECUBIE 10mg x 60;9157;AIREAL 10 mg;60;1;46575.82;776.26;ok
Aireal;AIREAL TABL MAST 5.00MG x 60;7829;AIREAL  5 mg;60;1;41776.76;696.28;ok
Aireal;AIREAL TABL MAST 4.00MG x 60;3533;AIREAL  4 mg;60;1;37722.08;628.7;ok
Alidial;ALIDIAL TABL RECUBIE 10mg x 30;87100;ALIDIAL;30;1;10842.45;361.42;ok
Alidial;ALIDIAL GOTAS 10mg 20ML x 1 /ML;76724;ALIDIAL;20;1;5980.3;299.01;ok
Alidial;ALIDIAL TABL RECUBIE 10mg x 10;28718;ALIDIAL;10;1;5866.92;586.69;ok
Alidial;ALIDIAL L GOTAS 5.00MG 20ML x 1 /ML;3944;ALIDIAL L - LEVOCETIRIZINA;20;1;15468.55;773.43;ok
